Unnamed: 0_x,identifier_x,name_x,period_formatted,period_yyyymmdd_x,ticker,sub_ind_code_x,fut_1w_ret,fut_1m_ret,fut_2m_ret,fut_3m_ret,fut_4m_ret,fut_5m_ret,fut_6m_ret,fut_7m_ret,fut_8m_ret,fut_9m_ret,fut_10m_ret,fut_11m_ret,fut_12m_ret,Unnamed: 0_y,identifier_y,name_y,period_yyyymmdd_y,prev_1m_ret,prev_3m_ret,prev_6m_ret,prev_9m_ret,prev_12m_ret,prev_ret12m_l1m,1m_6musdvol_chg,1m_6mvol_chg,1mvt,3mvt,6mvt,12mvt,beta_1y,beta_3y,cfo_p,fcf_p,net_cfo_p,ep_ltm,bk_p,sales_p,div_yid,mcap,fy1_p,fy2_p,eps_p_ntm,hist_eps_1yg,roe,roa,sales_g,asset_tover,std_eps,si_outshs,fy1_3mchg,fy2_3mchg,earning_risk,ir_sen_2y,ir_sen_10y,ir_spread_sen,ted_sen,crb_com_sen,oil_sen,usd_idx_sen,gross_mgn,sedol,cusip,sub_ind_code_y,us3mo,us2yr,us10yr,pairwise_avg_corr_index_30day,dxy_z,gold,p_volume_1w,p_volume_1m
10153,03783310,Apple Computer Inc.,1990-04-13,19900413,AAPL,45202010.0,-6.936413000000001,-1.445091,-11.306363000000001,3.722548,-4.369937999999999,-13.9422,-32.439304,-30.127167,-15.109831,4.832375,16.9711,34.300568,54.242752,10178,03783310,Apple Computer Inc.,19900413,17.288135999999998,25.68115,-4.98361,7.249224000000001,13.428581,6.557142999999999,0.069735,1.132128,2.803586,2.538825,2.528253,2.190077,1.0153020000000001,0.9357209999999999,0.124332,0.070494,0.070126,0.083975,0.302383,0.582867,1.018633,9216.948,0.095638,0.11262899999999999,0.10413399999999999,0.03681,32.876,17.228516,21.158695,2.111122,1.38024,,0.24595300000000003,3.8167949999999995,19.293797,-0.040507,-0.021192,0.063929,0.032229,-0.0019030000000000002,-0.158722,-0.034946,49.825638,,,45202010.0,8.057,8.532,8.626,0.103913,92.93,375.9,165.44078000000002,1101.7662
11126,03783310,Apple Computer Inc.,1990-04-20,19900420,AAPL,45202010.0,-2.795035,-1.242238,-1.5900610000000002,16.422367,-3.4534160000000003,-9.08075,-29.888206,-20.571428,-7.850939,7.6770309999999995,33.763981,49.590065,58.285713,11154,03783310,Apple Computer Inc.,19900420,-2.719033,17.839409,-15.687495000000002,1.4250040000000002,-0.19632,19.842302,0.069735,1.132128,2.803586,2.538825,2.528253,2.190077,1.101825,0.949599,0.124332,0.070494,0.070126,0.083975,0.302383,0.582867,1.018633,9216.948,0.095638,0.11262899999999999,0.10413399999999999,0.03681,32.876,17.228516,21.158695,2.111122,1.38024,,0.24595300000000003,3.8167949999999995,19.293797,-0.040507,-0.021192,0.063929,0.032229,-0.0019030000000000002,-0.158722,-0.034946,49.825638,,,45202010.0,7.976,8.78,8.927999999999999,0.11159300000000001,92.99,377.5,339.2508,1080.7383
12099,03783310,Apple Computer Inc.,1990-04-27,19900427,AAPL,45202010.0,2.236426,2.5175810000000003,6.351447,5.073487999999999,-6.428111,-12.536746,-27.233225,-8.702867999999999,9.495211,11.412144,43.361008,48.779548999999996,74.977623,12129,03783310,Apple Computer Inc.,19900427,-6.845242,19.801533,-13.049727,0.496817,0.43173999999999996,25.688887,0.069735,1.132128,2.803586,2.538825,2.528253,2.190077,1.038201,0.9261360000000001,0.124332,0.070494,0.070126,0.083975,0.302383,0.582867,1.018633,9216.948,0.095638,0.11262899999999999,0.10413399999999999,0.03681,32.876,17.228516,21.158695,2.111122,1.38024,,0.24595300000000003,3.8167949999999995,19.293797,-0.040507,-0.021192,0.063929,0.032229,-0.0019030000000000002,-0.158722,-0.034946,49.825638,,,45202010.0,8.105,8.925,9.027000000000001,0.125504,93.2,371.1,205.7664,1003.56476
13074,03783310,Apple Computer Inc.,1990-05-04,19900504,AAPL,45202010.0,6.562494999999999,2.149999,12.150013000000001,3.712511,-10.075003,-20.700001,-21.012497,-11.337495,0.537503,18.350006,50.85001,63.650024,74.587509,13105,03783310,Apple Computer Inc.,19900504,-3.030306,17.10949,-7.005787,-5.684209,-1.414639,20.782614000000002,-0.037194,0.9979049999999999,2.264738,2.332895,2.460108,2.252278,1.065189,0.9187139999999999,0.127095,0.072061,0.071684,0.085841,0.309103,0.59582,1.0412700000000001,9016.58,0.10139,0.116303,0.110089,0.03681,32.876,17.228516,21.158695,2.111122,1.38024,,8.104144999999999,7.49793,23.35183,0.011568,0.008948999999999999,-0.01242,0.058801,-0.013132,-0.187077,-0.037663,49.825638,,,45202010.0,8.105,8.692,8.83,0.124063,93.13,370.9,192.81921,997.318
14049,03783310,Apple Computer Inc.,1990-05-11,19900511,AAPL,45202010.0,-6.744867,-10.005867,5.243409,-2.967733,-12.680346,-31.448673,-29.102642,-13.865101000000001,6.369507,18.686222,36.269794,56.50437900000001,69.40763100000001,14080,03783310,Apple Computer Inc.,19900511,0.294113,24.773705,-8.352942,2.555227,-1.8917439999999999,13.695359,-0.037194,0.9979049999999999,2.264738,2.332895,2.460108,2.252278,1.1300219999999999,1.012902,0.127095,0.072061,0.071684,0.085841,0.309103,0.59582,1.0412700000000001,9016.58,0.10139,0.116303,0.110089,0.03681,32.876,17.228516,21.158695,2.111122,1.38024,,8.104144999999999,7.49793,23.35183,0.011568,0.008948999999999999,-0.01242,0.058801,-0.013132,-0.187077,-0.037663,49.825638,,,45202010.0,7.933,8.504,8.669,0.160591,91.12,368.8,184.9932,1029.07
15024,03783310,Apple Computer Inc.,1990-05-18,19900518,AAPL,45202010.0,0.9056569999999999,-0.352198,17.886793,-2.238989,-7.9371089999999995,-29.006296000000003,-19.572323,-6.691832000000001,9.03145,35.446548,51.471709999999995,60.27673299999999,51.157234,15058,03783310,Apple Computer Inc.,19900518,-8.092487,17.777777,-10.927373,-5.159765,-10.234642,8.834897999999999,-0.037194,0.9979049999999999,2.264738,2.332895,2.460108,2.252278,1.111232,0.9962780000000001,0.127095,0.072061,0.071684,0.085841,0.309103,0.59582,1.0412700000000001,9016.58,0.10139,0.116303,0.110089,0.03681,32.876,17.228516,21.158695,2.111122,1.38024,,8.104144999999999,7.49793,23.35183,0.011568,0.008948999999999999,-0.01242,0.058801,-0.013132,-0.187077,-0.037663,49.825638,,,45202010.0,8.062000000000001,8.568999999999999,8.737,0.1464,91.31,374.7,218.78079,1052.1112
15999,03783310,Apple Computer Inc.,1990-05-25,19900525,AAPL,45202010.0,1.874995,3.750002,2.499998,-8.749998,-14.724998999999999,-29.099989,-10.974998,6.824994,8.700013,39.950001,45.25,70.875,47.437489,16033,03783310,Apple Computer Inc.,19900525,3.5096760000000002,20.631588,-10.122908,-9.877098,-16.207254000000002,-2.074993,-0.037194,0.9979049999999999,2.264738,2.332895,2.460108,2.252278,1.113823,0.996841,0.127095,0.072061,0.071684,0.085841,0.309103,0.59582,1.0412700000000001,9016.58,0.10139,0.116303,0.110089,0.03681,32.876,17.228516,21.158695,2.111122,1.38024,,8.104144999999999,7.49793,23.35183,0.011568,0.008948999999999999,-0.01242,0.058801,-0.013132,-0.187077,-0.037663,49.825638,,,45202010.0,8.019,8.494,8.685,0.148929,92.26,368.4,310.632,1005.0124
16977,03783310,Apple Computer Inc.,1990-06-01,19900601,AAPL,45202010.0,-6.134969,9.815955,1.533747,-12.0,-22.429448999999998,-22.736198,-13.239258999999999,-1.582819,15.90184,47.803677,60.368095,71.104309,21.1043,17008,03783310,Apple Computer Inc.,19900601,3.116715,19.299257,-6.886363,-7.943988,-15.528201999999999,2.679491,0.097131,0.945565,2.200189,2.415657,2.5100759999999998,2.260964,1.1663430000000001,0.9616,0.120405,0.079538,0.099885,0.096485,0.296138,0.579248,1.018182,9445.940999999999,0.096714,0.11043800000000001,0.10586300000000001,0.288026,37.287434000000005,20.164618,13.663134,2.147097,1.384634,,8.455347999999999,5.23951,21.090495999999998,-0.010954,-0.030742000000000002,-0.106109,0.027704000000000003,-0.013365,-0.180175,-0.057953,49.825638,,,45202010.0,7.976,8.274,8.442,0.128104,92.96,359.2,195.10681,1068.2335
17951,03783310,Apple Computer Inc.,1990-06-08,19900608,AAPL,45202010.0,3.26798,16.993464000000003,7.843137,-2.980387,-23.895418,-21.28104,-4.300654,18.248367000000002,31.973862,51.568626,74.117638,88.496719,34.901955,17983,03783310,Apple Computer Inc.,19900608,-8.119762,4.380953,-7.856286,-14.266676,-18.994772,-0.189352,0.097131,0.945565,2.200189,2.415657,2.5100759999999998,2.260964,1.19803,0.998508,0.120405,0.079538,0.099885,0.096485,0.296138,0.579248,1.018182,9445.940999999999,0.096714,0.11043800000000001,0.10586300000000001,0.288026,37.287434000000005,20.164618,13.663134,2.147097,1.384634,,8.455347999999999,5.23951,21.090495999999998,-0.010954,-0.030742000000000002,-0.106109,0.027704000000000003,-0.013365,-0.180175,-0.057953,49.825638,,,45202010.0,8.019,8.286,8.464,0.106998,93.08,355.7,302.73037999999997,1178.2455
18924,03783310,Apple Computer Inc.,1990-06-15,19900615,AAPL,45202010.0,5.063283,18.354426999999998,-1.898736,-7.632911,-28.835451000000003,-19.341766,-6.379753,9.443033,36.025311,52.151894,61.012661,51.83543,19.873404999999998,18957,03783310,Apple Computer Inc.,19900615,-5.125743,7.782328,17.688894,-11.488885,-15.93684,-8.326089999999999,0.097131,0.945565,2.200189,2.415657,2.5100759999999998,2.260964,1.283018,1.010875,0.120405,0.079538,0.099885,0.096485,0.296138,0.579248,1.018182,9445.940999999999,0.096714,0.11043800000000001,0.10586300000000001,0.288026,37.287434000000005,20.164618,13.663134,2.147097,1.384634,,8.455347999999999,5.23951,21.090495999999998,-0.010954,-0.030742000000000002,-0.106109,0.027704000000000003,-0.013365,-0.180175,-0.057953,49.825638,,,45202010.0,7.976,8.279,8.44,0.119902,92.58,349.5,186.5864,1157.24
