Unnamed: 0_x,identifier_x,name_x,period_formatted,period_yyyymmdd_x,ticker,sub_ind_code_x,fut_1w_ret,fut_1m_ret,fut_2m_ret,fut_3m_ret,fut_4m_ret,fut_5m_ret,fut_6m_ret,fut_7m_ret,fut_8m_ret,fut_9m_ret,fut_10m_ret,fut_11m_ret,fut_12m_ret,Unnamed: 0_y,identifier_y,name_y,period_yyyymmdd_y,prev_1m_ret,prev_3m_ret,prev_6m_ret,prev_9m_ret,prev_12m_ret,prev_ret12m_l1m,1m_6musdvol_chg,1m_6mvol_chg,1mvt,3mvt,6mvt,12mvt,beta_1y,beta_3y,cfo_p,fcf_p,net_cfo_p,ep_ltm,bk_p,sales_p,div_yid,mcap,fy1_p,fy2_p,eps_p_ntm,hist_eps_1yg,roe,roa,sales_g,asset_tover,std_eps,si_outshs,fy1_3mchg,fy2_3mchg,earning_risk,ir_sen_2y,ir_sen_10y,ir_spread_sen,ted_sen,crb_com_sen,oil_sen,usd_idx_sen,gross_mgn,sedol,cusip,sub_ind_code_y,us3mo,us2yr,us10yr,pairwise_avg_corr_index_30day,dxy_z,gold,p_volume_1w,p_volume_1m
435190,2313510,"Amazon.com, Inc.",7/3/98,19980703,AMZN,25502020,-19.758057,-10.584677,-14.60433,-11.895156,-6.350809,45.665325,131.1996,239.616943,152.822586,222.530243,342.439514,229.939529,162.348801,435173,2313510,"Amazon.com, Inc.",19980703,193.49112,166.66666,316.8067,414.65625,981.19885,376.05634,21.86948,2.167153,6.275545,5.27496,4.50832,5.200327,2.370535,1.523452,-0.000938,-0.002792,-0.000568,-0.007469,0.004113,0.029366,0,7461.9155,-0.012147,-0.007021,-0.009584,-2.820513,-299.34485,-43.145813,609.7033,2.796266,-1.329258,11.690404,,-4477.841,-4.231179,0.061683,-0.079877,-0.201903,0.386774,0.101985,-0.04836,0.044136,20.359333,,,25502020,5.051,5.41,5.41,0.157622,101.98,294.1,126.9192,648.16565
436190,2313510,"Amazon.com, Inc.",7/10/98,19980710,AMZN,25502020,20.414566,16.582918,-13.316584,10.804022,27.072859,117.71357,226.444717,270.854248,207.160782,307.223602,472.864288,299.120605,219.032639,436172,2313510,"Amazon.com, Inc.",19980710,83.83373,108.92389,289.24207,325.10013,547.1545,469.73682,21.86948,2.167153,6.275545,5.27496,4.50832,5.200327,1.574987,1.405431,-0.000938,-0.002792,-0.000568,-0.007469,0.004113,0.029366,0,7461.9155,-0.012147,-0.007021,-0.009584,-2.820513,-299.34485,-43.145813,609.7033,2.796266,-1.329258,11.690404,,-4477.841,-4.231179,0.061683,-0.079877,-0.201903,0.386774,0.101985,-0.04836,0.044136,20.359333,,,25502020,5.032,5.391,5.409,0.135573,102.09,290.8,206.82721,815.0892
437185,2313510,"Amazon.com, Inc.",7/17/98,19980717,AMZN,25502020,3.703701,2.451754,-36.515392,-23.891497,3.96452,57.329155,168.127304,192.801254,220.813782,248.200317,426.134583,221.909241,178.716751,437170,2313510,"Amazon.com, Inc.",19980717,51.661385,152.56917,316.73914,450.86206,800,774.7405,21.86948,2.167153,6.275545,5.27496,4.50832,5.200327,1.715287,1.507111,-0.000938,-0.002792,-0.000568,-0.007469,0.004113,0.029366,0,7461.9155,-0.012147,-0.007021,-0.009584,-2.820513,-299.34485,-43.145813,609.7033,2.796266,-1.329258,11.690404,,-4477.841,-4.231179,0.061683,-0.079877,-0.201903,0.386774,0.101985,-0.04836,0.044136,20.359333,,,25502020,5.125,5.443,5.507,0.124827,100.58,294.5,94.0566,754.4849
438180,2313510,"Amazon.com, Inc.",7/24/98,19980724,AMZN,25502020,-10.764593,4.376256,-35.865192,-19.969828,2.816892,79.47686,286.921539,179.778671,193.360168,312.877258,315.442657,186.720322,166.046265,438166,2313510,"Amazon.com, Inc.",19980724,24.483418,192.78352,319.40927,312.02072,816.129,1001.3793,21.86948,2.167153,6.275545,5.27496,4.50832,5.200327,1.306242,1.395221,-0.000938,-0.002792,-0.000568,-0.007469,0.004113,0.029366,0,7461.9155,-0.012147,-0.007021,-0.009584,-2.820513,-299.34485,-43.145813,609.7033,2.796266,-1.329258,11.690404,,-4477.841,-4.231179,0.061683,-0.079877,-0.201903,0.386774,0.101985,-0.04836,0.044136,20.359333,,,25502020,5.062,5.442,5.449,0.140939,100.7,291.2,168.01201,740.1378
439174,2313510,"Amazon.com, Inc.",7/31/98,19980731,AMZN,25502020,4.622328,-4.49549,-1.465607,4.735065,62.908684,158.568222,279.819641,182.750839,260.710266,394.814026,268.996613,193.404739,235.682083,439160,2313510,"Amazon.com, Inc.",19980731,11.152876,141.68935,275.84747,263.52457,671.3044,978.3784,37.276737,1.780692,7.371532,6.266853,5.354314,5.486905,1.76338,1.471663,-0.001092,-0.002457,-0.000511,-0.00929,0.00716,0.037044,0,8294.134,-0.013227,-0.011513,-0.012227,-2.029412,-113.737076,-19.071264,443.7957,1.212374,-1.120319,9.779819,,-1500,-4.681447,-0.04234,-0.066755,-0.075875,0.006001,0.15663,-0.009248,0.008718,20.93572,,,25502020,5.074,5.459,5.503,0.135924,101.2,286.3,114.4368,685.7441
440167,2313510,"Amazon.com, Inc.",8/7/98,19980807,AMZN,25502020,5.818963,-25.646555,-4.956901,8.997833,86.745689,180.010773,218.103439,163.469818,249.299545,391.379303,242.349121,173.653,224.56897,440152,2313510,"Amazon.com, Inc.",19980807,-5.015349,154.94507,294.05524,331.62793,788.0383,917.7083,37.276737,1.780692,7.371532,6.266853,5.354314,5.486905,1.843333,1.402322,-0.001092,-0.002457,-0.000511,-0.00929,0.00716,0.037044,0,8294.134,-0.013227,-0.011513,-0.012227,-2.029412,-113.737076,-19.071264,443.7957,1.212374,-1.120319,9.779819,,-1500,-4.681447,-0.04234,-0.066755,-0.075875,0.006001,0.15663,-0.009248,0.008718,20.93572,,,25502020,4.969,5.291,5.399,0.192159,101.49,287,106.0752,642.61914
441158,2313510,"Amazon.com, Inc.",8/14/98,19980814,AMZN,25502020,5.651736,-38.034622,-25.71283,1.476574,53.564144,161.710785,185.794281,213.136459,239.867615,413.543762,214.205688,172.046829,236.35437,441144,2313510,"Amazon.com, Inc.",19980814,6.73914,168.12286,294.3775,391.00003,848.79224,797.5609,37.276737,1.780692,7.371532,6.266853,5.354314,5.486905,1.605566,1.338448,-0.001092,-0.002457,-0.000511,-0.00929,0.00716,0.037044,0,8294.134,-0.013227,-0.011513,-0.012227,-2.029412,-113.737076,-19.071264,443.7957,1.212374,-1.120319,9.779819,,-1500,-4.681447,-0.04234,-0.066755,-0.075875,0.006001,0.15663,-0.009248,0.008718,20.93572,,,25502020,5.011,5.306,5.395,0.216102,102.42,283.9,110.8548,574.17236
442147,2313510,"Amazon.com, Inc.",8/21/98,19980821,AMZN,25502020,-18.349398,-38.554222,-23.325306,-1.493984,71.951805,270.698792,168.048187,181.060242,295.566254,298.024078,174.698776,154.891556,165.012054,442132,2313510,"Amazon.com, Inc.",19980821,-1.798385,192.25352,310.07904,381.4385,922.1676,908.59186,37.276737,1.780692,7.371532,6.266853,5.354314,5.486905,1.657604,1.346488,-0.001092,-0.002457,-0.000511,-0.00929,0.00716,0.037044,0,8294.134,-0.013227,-0.011513,-0.012227,-2.029412,-113.737076,-19.071264,443.7957,1.212374,-1.120319,9.779819,,-1500,-4.681447,-0.04234,-0.066755,-0.075875,0.006001,0.15663,-0.009248,0.008718,20.93572,,,25502020,4.978,5.202,5.325,0.226438,102.18,285.2,82.9224,546.3762
443135,2313510,"Amazon.com, Inc.",8/28/98,19980828,AMZN,25502020,-18.548029,3.172493,9.665036,70.576942,170.739273,297.69809,196.060211,277.68924,418.105377,286.365662,207.215576,251.482971,183.488281,443121,2313510,"Amazon.com, Inc.",19980828,-10.96952,146.43636,175.0406,327.8409,643.0921,753.36316,37.276737,1.780692,7.371532,6.266853,5.354314,5.486905,2.032187,1.56465,-0.001092,-0.002457,-0.000511,-0.00929,0.00716,0.037044,0,8294.134,-0.013227,-0.011513,-0.012227,-2.029412,-113.737076,-19.071264,443.7957,1.212374,-1.120319,9.779819,,-1500,-4.681447,-0.04234,-0.066755,-0.075875,0.006001,0.15663,-0.009248,0.008718,20.93572,,,25502020,4.872,4.893,5.085,0.269195,100.13,274.6,99.75481,485.2134
444121,2313510,"Amazon.com, Inc.",9/4/98,19980904,AMZN,25502020,-11.811596,27.826082,46.594204,151.159424,276.594208,327.82608,254.347824,369.782593,560.869568,360.434784,268.043457,336.521729,211.521744,444108,2313510,"Amazon.com, Inc.",19980904,-21.501709,96.5812,134.89363,219.44444,463.26532,691.8919,20.08612,1.113476,6.200872,7.076276,5.804179,5.572417,2.448448,1.750364,-0.001445,-0.003253,-0.000559,-0.012299,0.009478,0.049042,0,6265.0166,-0.017885,-0.015975,-0.016611,-2.029412,-113.737076,-19.071264,443.7957,1.212374,-1.120319,9.883079,,,-4.854717,0.089733,0.116765,-0.010411,-0.051726,0.192846,-0.01743,0.065851,20.93572,,,25502020,4.843,4.875,5.012,0.322384,98.2,287,199.06259,585.7566
